nome,kcal,P,C,G,grupo
"Porco, pernil, cru",186.0,20.1,0.0,11.1,proteinas
"Porco, rabo, salgado, cru",377.0,15.6,0.0,34.5,proteinas
"Presunto, com capa de gordura",128.0,14.4,1.4,6.8,proteinas
"Presunto, sem capa de gordura",94.0,14.3,2.1,2.7,proteinas
"Quibe, assado",136.0,14.6,12.9,2.7,proteinas
"Quibe, cru",109.0,12.4,10.8,1.7,proteinas
"Quibe, frito",254.0,14.9,12.3,15.8,proteinas
Salame,398.0,25.8,2.9,30.6,proteinas
"Toucinho, cru",593.0,11.5,0.0,60.3,proteinas
"Toucinho, frito",697.0,27.3,0.0,64.3,proteinas
"Bebida láctea, pêssego",55.0,2.1,7.6,1.9,laticinios
Creme de Leite,221.0,1.5,4.5,22.5,laticinios
"Iogurte, natural",51.0,4.1,1.9,3.0,laticinios
"Iogurte, natural, desnatado",41.0,3.8,5.8,0.3,laticinios
"Iogurte, sabor morango",70.0,2.7,9.7,2.3,laticinios
"Iogurte, sabor pêssego",68.0,2.5,9.4,2.3,laticinios
"Leite, condensado",313.0,7.7,57.0,6.7,laticinios
"Leite, de cabra",66.0,3.1,5.2,3.8,laticinios
"Leite, de vaca, achocolatado",83.0,2.1,14.2,2.2,laticinios
"Leite, de vaca, desnatado, pó",362.0,34.7,53.0,0.9,laticinios
"Leite, de vaca, integral, pó",497.0,25.4,39.2,26.9,laticinios
"Leite, fermentado",70.0,1.9,15.7,0.1,laticinios
"Queijo, minas, frescal",264.0,17.4,3.2,20.2,laticinios
"Queijo, minas, meia cura",321.0,21.2,3.6,24.6,laticinios
"Queijo, mozarela",330.0,22.6,3.0,25.2,laticinios
"Queijo, parmesão",453.0,35.6,1.7,33.5,laticinios
"Queijo, pasteurizado",303.0,9.4,5.7,27.4,laticinios
"Queijo, petit suisse, morango",121.0,5.8,18.5,2.8,laticinios
"Queijo, prato",360.0,22.7,1.9,29.1,laticinios
"Queijo, requeijão, cremoso",257.0,9.6,2.4,23.4,laticinios
"Queijo, ricota",140.0,12.6,3.8,8.1,laticinios
"Bebida isotônica, sabores variados",26.0,0.0,6.4,0.0,carboidratos
"Café, infusão 10%",9.0,0.7,1.5,0.1,carboidratos
"Cana, aguardente 1",216.0,,,,carboidratos
"Cana, caldo de",65.0,,18.2,,carboidratos
"Cerveja, pilsen 2",41.0,0.6,3.3,,carboidratos
"Chá, erva-doce, infusão 5%",1.0,0.0,0.4,0.0,carboidratos
"Chá, mate, infusão 5%",3.0,0.0,0.6,0.1,carboidratos
"Chá, preto, infusão 5%",2.0,0.0,0.6,0.0,carboidratos
"Coco, água de",22.0,0.0,5.3,0.0,carboidratos
"Refrigerante, tipo água tônica",31.0,0.0,8.0,0.0,carboidratos
"Refrigerante, tipo cola",34.0,0.0,8.7,0.0,carboidratos
"Refrigerante, tipo guaraná",39.0,0.0,10.0,0.0,carboidratos
"Refrigerante, tipo laranja",46.0,0.0,11.8,0.0,frutas
"Refrigerante, tipo limão",40.0,0.0,10.3,0.0,carboidratos
"Omelete, de queijo",268.0,15.6,0.4,22.0,proteinas
"Ovo, de codorna, inteiro, cru",177.0,13.7,0.8,12.7,proteinas
"Ovo, de galinha, clara, cozida/10minutos",59.0,13.4,0.0,0.1,proteinas
"Ovo, de galinha, gema, cozida/10minutos",353.0,15.9,1.6,30.8,proteinas
"Ovo, de galinha, inteiro, cozido/10minutos",146.0,13.3,0.6,9.5,proteinas
"Ovo, de galinha, inteiro, cru",143.0,13.0,1.6,8.9,proteinas
"Ovo, de galinha, inteiro, frito",240.0,15.6,1.2,18.6,proteinas
"Achocolatado, pó",401.0,4.2,91.2,2.2,carboidratos
"Açúcar, cristal",387.0,0.3,99.6,,carboidratos
"Açúcar, mascavo",369.0,0.8,94.5,0.1,carboidratos
"Açúcar, refinado",387.0,0.3,99.5,,carboidratos
"Chocolate, ao leite",540.0,7.2,59.6,30.3,laticinios
"Chocolate, ao leite, com castanha do Pará",559.0,7.4,55.4,34.2,laticinios
"Chocolate, ao leite, dietético",557.0,6.9,56.3,33.8,laticinios
"Chocolate, meio amargo",475.0,4.9,62.4,29.9,carboidratos
Cocada branca,449.0,1.1,81.4,13.6,carboidratos
"Doce, de abóbora, cremoso",199.0,0.9,54.6,0.2,carboidratos
"Doce, de leite, cremoso",306.0,5.5,59.5,6.0,laticinios
"Geléia, mocotó, natural",106.0,2.1,24.2,0.1,carboidratos
Glicose de milho,292.0,0.0,79.4,0.0,carboidratos
Maria mole,301.0,3.8,73.6,0.2,carboidratos
"Maria mole, coco queimado",307.0,3.9,75.1,0.1,carboidratos
Marmelada,257.0,0.4,70.8,0.1,carboidratos
"Mel, de abelha",309.0,0.0,84.0,0.0,carboidratos
Melado,297.0,0.0,76.6,0.0,carboidratos
Quindim,411.0,4.7,46.3,24.4,carboidratos
Rapadura,352.0,1.0,90.8,0.1,carboidratos
"Café, pó, torrado",419.0,14.7,65.8,11.9,carboidratos
"Capuccino, pó",417.0,11.3,73.6,8.6,carboidratos
"Fermento em pó, químico",90.0,0.5,43.9,0.1,carboidratos
"Fermento, biológico, levedura, tablete",90.0,17.0,7.7,1.5,carboidratos
"Gelatina, sabores variados, pó",380.0,8.9,89.2,,carboidratos
Shoyu,61.0,3.3,11.6,0.3,carboidratos
Tempero a base de sal,21.0,2.7,2.1,0.3,carboidratos
"Azeitona, preta, conserva",194.0,1.2,5.5,20.3,carboidratos
"Azeitona, verde, conserva",137.0,0.9,4.1,14.2,carboidratos
"Chantilly, spray, com gordura vegetal",315.0,0.5,16.9,27.3,gorduras
"Leite, de coco",166.0,1.0,2.2,18.4,laticinios
"Maionese, tradicional com ovos",302.0,0.6,7.9,30.5,proteinas
Acarajé,289.0,8.3,19.1,19.9,carboidratos
Arroz carreteiro,154.0,10.8,11.6,7.1,carboidratos
"Baião de dois, arroz e feijão-de-corda",136.0,6.2,20.4,3.2,leguminosas
Barreado,165.0,18.3,0.2,9.5,carboidratos
"Bife à cavalo, com contra filé",291.0,23.7,0.0,21.1,proteinas
Bolinho de arroz,274.0,8.0,41.7,8.3,carboidratos
Camarão à baiana,101.0,7.9,3.2,6.0,carboidratos
"Charuto, de repolho",78.0,6.8,10.1,1.1,carboidratos
"Cuscuz, de milho, cozido com sal",113.0,2.2,25.3,0.7,carboidratos
"Cuscuz, paulista",142.0,2.6,22.5,4.6,carboidratos
"Cuxá, molho",80.0,5.6,5.7,3.6,carboidratos
Dobradinha,125.0,19.8,0.0,4.4,carboidratos
Estrogonofe de carne,173.0,15.0,3.0,10.8,proteinas
Estrogonofe de frango,157.0,17.6,2.6,8.0,proteinas
Feijão tropeiro mineiro,152.0,10.2,19.6,6.8,leguminosas
Feijoada,117.0,8.7,11.6,6.5,leguminosas
"Frango, com açafrão",113.0,9.7,4.1,6.2,proteinas
"Macarrão, molho bolognesa",120.0,4.9,22.5,0.9,frutas
Maniçoba,134.0,10.0,3.4,8.7,carboidratos
Quibebe,86.0,8.6,6.6,2.7,carboidratos
"Salada, de legumes, com maionese",96.0,1.1,8.9,7.0,carboidratos
"Salada, de legumes, cozida no vapor",35.0,2.0,7.1,0.3,carboidratos
"Salpicão, de frango",148.0,13.9,4.6,7.8,proteinas
Sarapatel,123.0,18.5,1.1,4.4,carboidratos
Tabule,57.0,2.0,10.6,1.2,carboidratos
Tacacá,47.0,7.0,3.4,0.4,carboidratos
"Tapioca, com manteiga",348.0,0.1,63.6,10.9,gorduras
"Tucupi, com pimenta-de-cheiro",27.0,2.1,4.7,0.3,vegetais
Vaca atolada,145.0,5.1,10.1,9.3,carboidratos
Vatapá,255.0,6.0,9.7,23.2,carboidratos
Virado à paulista,307.0,10.2,14.1,25.6,carboidratos
Yakisoba,113.0,7.5,18.3,2.6,carboidratos
"Amendoim, grão, cru",544.0,27.2,20.3,43.9,leguminosas
"Amendoim, torrado, salgado",606.0,22.5,18.7,54.0,leguminosas
"Ervilha, em vagem",88.0,7.5,14.2,0.5,leguminosas
"Ervilha, enlatada, drenada",74.0,4.6,13.4,0.4,leguminosas
"Feijão, carioca, cozido",76.0,4.8,13.6,0.5,leguminosas
"Feijão, carioca, cru",329.0,20.0,61.2,1.3,leguminosas
"Feijão, fradinho, cozido",78.0,5.1,13.5,0.6,leguminosas
"Feijão, fradinho, cru",339.0,20.2,61.2,2.4,leguminosas
"Feijão, jalo, cozido",93.0,6.1,16.5,0.5,leguminosas
"Feijão, jalo, cru",328.0,20.1,61.5,0.9,leguminosas
"Feijão, preto, cozido",77.0,4.5,14.0,0.5,leguminosas
"Feijão, preto, cru",324.0,21.3,58.8,1.2,leguminosas
"Feijão, rajado, cozido",85.0,5.5,15.3,0.4,leguminosas
"Feijão, rajado, cru",326.0,17.3,62.9,1.2,leguminosas
"Feijão, rosinha, cozido",68.0,4.5,11.8,0.5,leguminosas
"Feijão, rosinha, cru",337.0,20.9,62.2,1.3,leguminosas
"Feijão, roxo, cozido",77.0,5.7,12.9,0.5,leguminosas
"Feijão, roxo, cru",331.0,22.2,60.0,1.2,leguminosas
"Grão-de-bico, cru",355.0,21.2,57.9,5.4,leguminosas
"Guandu, cru",344.0,19.0,64.0,2.1,carboidratos
"Lentilha, cozida",93.0,6.3,16.3,0.5,leguminosas
"Lentilha, crua",339.0,23.2,62.0,0.8,leguminosas
"Paçoca, amendoim",487.0,16.0,52.4,26.1,leguminosas
"Pé-de-moleque, amendoim",503.0,13.2,54.7,28.0,leguminosas
"Soja, farinha",404.0,36.0,38.4,14.6,leguminosas
"Soja, extrato solúvel, natural, fluido",39.0,2.4,4.3,1.6,leguminosas
"Soja, extrato solúvel, pó",459.0,35.7,28.5,26.2,leguminosas
"Soja, queijo (tofu)",64.0,6.6,2.1,4.0,laticinios
"Tremoço, cru",381.0,33.6,43.8,10.3,carboidratos
"Tremoço, em conserva",121.0,11.1,12.4,3.8,carboidratos
"Amêndoa, torrada, salgada",581.0,18.6,29.5,47.3,carboidratos
"Castanha-de-caju, torrada, salgada",570.0,18.5,29.1,46.3,carboidratos
"Castanha-do-Brasil, crua",643.0,14.5,15.1,63.5,carboidratos
"Coco, cru",406.0,3.7,10.4,42.0,carboidratos
"Farinha, de mesocarpo de babaçu, crua",329.0,1.4,79.2,0.2,carboidratos
"Gergelim, semente",584.0,21.2,21.6,50.4,carboidratos
"Linhaça, semente",495.0,14.1,43.3,32.3,carboidratos
"Pinhão, cozido",174.0,3.0,43.9,0.7,carboidratos
"Pupunha, cozida",219.0,2.5,29.6,12.8,carboidratos
"Noz, crua",620.0,14.0,18.4,59.4,carboidratos
